epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.5895,0.97608,2.80786,1.21794,0.61102,0.68284,0.73893,0.51988,1.22167,3.57654,1.31801,0.00024293,0.00024293,0.00024293
2,29.6854,1.32368,2.03437,1.43569,0.46283,0.76111,0.50484,0.3011,1.37425,5.90103,1.88181,0.000490247,0.000490247,0.000490247
3,37.5705,1.2448,2.35062,1.36716,0.79109,0.2676,0.31389,0.20162,1.28974,2.85787,1.4324,0.000727378,0.000727378,0.000727378
4,45.0564,1.23193,2.21333,1.30281,0.6036,0.48889,0.50926,0.26018,1.49846,7.30543,1.89436,0.000954323,0.000954323,0.000954323
5,52.2043,1.41767,2.57949,1.50825,0.38493,0.20513,0.08983,0.03649,1.98844,7.84737,3.20346,0.00117108,0.00117108,0.00117108
6,59.383,1.75349,2.92594,1.80092,0.15354,0.44915,0.15934,0.09681,1.85718,11.3761,2.21109,0.00128753,0.00128753,0.00128753
7,66.7253,1.6436,3.03802,1.74808,0.47619,0.07692,0.10865,0.036,1.89186,7.97069,2.67261,0.00125923,0.00125923,0.00125923
8,73.8733,1.64215,2.87304,1.75794,0.35019,0.05128,0.00474,0.00182,3.04677,8.12922,8.54351,0.00123094,0.00123094,0.00123094
9,80.8345,1.39936,2.35509,1.49808,0.00249,0.18162,0.00262,0.00059,3.85198,inf,56.0459,0.00120265,0.00120265,0.00120265
10,88.2401,1.60435,2.55047,1.70452,0.0077,0.16111,0.01947,0.00603,2.86028,805.631,10.6499,0.00117435,0.00117435,0.00117435
11,95.1479,1.57259,3.01162,1.67491,0.0077,0.16111,0.01947,0.00603,2.86028,805.631,10.6499,0.00114606,0.00114606,0.00114606
12,102.158,1.58527,3.03771,1.75809,0.46473,0.37222,0.31484,0.19223,1.68742,12.207,2.11688,0.00111776,0.00111776,0.00111776
13,109.287,1.57836,2.52455,1.7033,0.16164,0.65385,0.30326,0.16186,1.66737,8.80189,1.93668,0.00108947,0.00108947,0.00108947
14,116.443,1.58511,2.33569,1.55844,0.21797,0.70556,0.33305,0.17447,1.27081,8.1564,1.5355,0.00106118,0.00106118,0.00106118
15,123.388,1.56537,2.11292,1.52178,0.06472,0.86959,0.09121,0.05225,1.22273,30.9313,1.41048,0.00103288,0.00103288,0.00103288
16,130.371,1.34838,1.92974,1.45303,0.15433,0.84658,0.18084,0.12044,1.1855,14.5191,1.37766,0.00100459,0.00100459,0.00100459
17,137.68,1.30646,1.67191,1.45841,0.49684,0.73205,0.6469,0.38398,1.29702,3.50824,1.53999,0.000976293,0.000976293,0.000976293
18,144.562,1.36508,1.59489,1.4915,0.49684,0.73205,0.6469,0.38398,1.29702,3.50824,1.53999,0.000947999,0.000947999,0.000947999
19,151.526,1.19665,1.39266,1.4269,0.40432,0.88761,0.51939,0.35153,1.25326,4.11386,1.39449,0.000919704,0.000919704,0.000919704
20,158.571,1.16094,1.23978,1.34662,0.78459,0.77458,0.8676,0.61747,1.15842,1.89095,1.26447,0.00089141,0.00089141,0.00089141
