epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.77215,1.14704,3.27388,1.32231,0.78964,0.68228,0.72973,0.55153,0.89672,1.57102,1.0886,0.00018577,0.00018577,0.00018577
2,12.8178,1.07112,1.87448,1.25664,0.59247,0.32934,0.56439,0.34667,1.16926,2.12189,1.27317,0.000378191,0.000378191,0.000378191
3,16.7501,1.11902,1.90709,1.26303,0.70441,0.54872,0.51154,0.34734,1.10226,2.30336,1.30108,0.000562689,0.000562689,0.000562689
4,20.4345,1.33031,1.87939,1.32832,0.46574,0.71299,0.64004,0.29471,1.57494,3.06105,1.64409,0.000739265,0.000739265,0.000739265
5,24.2674,1.3609,1.92151,1.41855,0.51012,0.68765,0.62249,0.37957,1.39371,1.75162,1.84545,0.000907918,0.000907918,0.000907918
6,28.2207,1.37906,2.14023,1.39825,0.40115,0.79037,0.62142,0.35368,1.31324,10.9178,2.0677,0.00106865,0.00106865,0.00106865
7,31.9896,1.23551,2.52126,1.34471,0.21357,0.38889,0.25597,0.16173,1.46077,2.72687,1.85914,0.00122146,0.00122146,0.00122146
8,35.9114,1.37893,1.94533,1.43605,0.30334,0.41709,0.37656,0.21829,1.64528,6.85637,2.25419,0.00123094,0.00123094,0.00123094
9,39.6857,1.4729,2.06141,1.45248,0.20687,0.69377,0.22915,0.09741,1.63168,61.8447,2.65045,0.00120265,0.00120265,0.00120265
10,43.6987,1.5627,1.96822,1.56544,0.25431,0.66282,0.35863,0.22651,1.49539,11.6344,2.22939,0.00117435,0.00117435,0.00117435
11,47.5889,1.54013,1.73656,1.57588,0.43381,0.68207,0.57012,0.33691,1.31678,5.10448,1.74423,0.00114606,0.00114606,0.00114606
12,51.5781,1.31998,1.56172,1.39952,0.42034,0.77991,0.69013,0.40234,1.25305,5.3483,1.72173,0.00111776,0.00111776,0.00111776
13,55.3385,1.21227,1.28921,1.32411,0.65744,0.73201,0.80277,0.48361,1.19435,4.23784,1.52576,0.00108947,0.00108947,0.00108947
14,58.9449,1.23129,1.28676,1.39051,0.65744,0.73201,0.80277,0.48361,1.19435,4.23784,1.52576,0.00106118,0.00106118,0.00106118
15,62.7952,1.2288,1.21081,1.40451,0.74305,0.88538,0.91478,0.65747,1.08806,1.67494,1.36295,0.00103288,0.00103288,0.00103288
16,66.7471,1.11919,0.99895,1.29655,0.91294,0.88259,0.96266,0.64888,1.11404,1.50228,1.38823,0.00100459,0.00100459,0.00100459
17,70.5406,1.09331,0.97849,1.26596,0.93222,0.86008,0.98603,0.73059,1.00234,0.96991,1.25744,0.000976293,0.000976293,0.000976293
18,74.4313,1.07493,0.99059,1.27086,0.89116,0.88991,0.98542,0.73355,0.93127,1.12869,1.21548,0.000947999,0.000947999,0.000947999
19,78.5933,1.02989,0.83779,1.25017,0.92489,0.96039,0.97799,0.70809,1.08393,1.03348,1.35884,0.000919704,0.000919704,0.000919704
20,82.4121,0.98395,0.93275,1.24139,0.87823,0.98354,0.98635,0.75191,0.92513,0.74695,1.22951,0.00089141,0.00089141,0.00089141
21,86.3899,0.93734,0.80466,1.19994,0.91108,0.97436,0.99333,0.77855,0.92186,0.6666,1.21932,0.000863116,0.000863116,0.000863116
22,90.2567,0.88931,0.74127,1.14806,0.91108,0.97436,0.99333,0.77855,0.92186,0.6666,1.21932,0.000834822,0.000834822,0.000834822
23,94.2158,0.95438,0.72911,1.19301,0.90274,0.95858,0.9838,0.76002,0.93382,0.75039,1.17615,0.000806528,0.000806528,0.000806528
24,97.9614,0.8997,0.65414,1.08282,0.97978,0.94255,0.98647,0.75935,0.94273,0.65538,1.17385,0.000778233,0.000778233,0.000778233
25,101.925,0.94463,0.69842,1.1742,0.98764,0.99556,0.995,0.76291,0.97226,0.55556,1.19737,0.000749939,0.000749939,0.000749939
26,105.743,0.92823,0.66507,1.21216,0.98824,0.97222,0.98716,0.77506,0.90669,0.49822,1.14363,0.000721645,0.000721645,0.000721645
27,109.584,0.89591,0.62096,1.16158,0.96646,0.97222,0.98518,0.78762,0.89792,0.51709,1.13147,0.000693351,0.000693351,0.000693351
28,113.499,0.87275,0.62312,1.1178,0.98104,1,0.995,0.78235,0.95887,0.51011,1.17936,0.000665057,0.000665057,0.000665057
29,117.223,0.80157,0.55023,1.04578,0.94134,0.99874,0.9909,0.79293,0.86869,0.52785,1.13305,0.000636762,0.000636762,0.000636762
30,121.106,0.85707,0.60936,1.11905,0.94134,0.99874,0.9909,0.79293,0.86869,0.52785,1.13305,0.000608468,0.000608468,0.000608468
31,126.081,0.87162,0.67934,1.13851,0.98791,1,0.995,0.7908,0.84173,0.48695,1.0976,0.000580174,0.000580174,0.000580174
32,131.055,0.81893,0.5482,1.05501,0.98605,0.99091,0.995,0.78363,0.8421,0.48465,1.10761,0.00055188,0.00055188,0.00055188
33,136.28,0.78334,0.55179,1.03454,0.99366,0.99511,0.995,0.80195,0.80975,0.44369,1.07146,0.000523586,0.000523586,0.000523586
34,142.233,0.80902,0.58945,1.06004,0.97642,0.97436,0.99333,0.81081,0.80248,0.45741,1.09701,0.000495291,0.000495291,0.000495291
35,147.714,0.88136,0.58949,1.12751,0.95362,0.99934,0.995,0.82543,0.78903,0.44697,1.09995,0.000466997,0.000466997,0.000466997
