epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.5132,1.21484,3.36992,1.23594,0.00638,0.72222,0.05111,0.03943,0.93515,3.12402,1.04738,1.429e-05,1.429e-05,1.429e-05
2,27.8107,1.13487,3.37919,1.21142,0.00669,0.75556,0.05308,0.03791,0.92614,3.11773,1.04486,4.20212e-05,4.20212e-05,4.20212e-05
3,29.0928,1.19543,3.42215,1.18629,0.0083,0.91667,0.12122,0.10086,0.86257,3.10928,0.99755,6.86206e-05,6.86206e-05,6.86206e-05
4,30.5307,1.05335,3.30495,1.10018,0.00812,0.94444,0.24628,0.2028,0.78878,3.04355,0.92401,9.40882e-05,9.40882e-05,9.40882e-05
5,31.9896,0.94554,3.11818,1.0774,0.0083,1,0.40515,0.34731,0.6771,2.90726,0.85642,0.000118424,0.000118424,0.000118424
6,33.4201,0.88621,2.88914,1.02222,0.00794,1,0.59118,0.48342,0.70648,2.88739,0.85702,0.000141628,0.000141628,0.000141628
7,34.9256,0.93176,2.72983,1.0546,0.00784,1,0.65122,0.5338,0.67561,2.87464,0.85675,0.000163701,0.000163701,0.000163701
8,36.378,0.88345,2.48815,1.03587,0.00781,1,0.73467,0.61523,0.65245,2.83374,0.84647,0.000184641,0.000184641,0.000184641
9,37.8047,0.91789,2.3057,1.05442,0.00782,1,0.76408,0.62175,0.68065,2.80337,0.85735,0.00020445,0.00020445,0.00020445
10,39.2164,0.93258,2.12899,1.04161,0.00784,1,0.77092,0.62328,0.6811,2.77209,0.85977,0.000223127,0.000223127,0.000223127
11,40.7244,0.88653,1.87629,1.05172,0.00794,1,0.78295,0.61655,0.73008,2.71544,0.8651,0.000240672,0.000240672,0.000240672
12,42.2057,0.84434,1.67795,1.04402,0.00805,1,0.79032,0.63219,0.75695,2.64485,0.85994,0.000257086,0.000257086,0.000257086
13,43.6647,0.86937,1.50989,1.07416,0.00814,1,0.77166,0.6126,0.78341,2.64089,0.87466,0.000272367,0.000272367,0.000272367
14,45.1108,0.8363,1.3768,1.03303,0.00818,1,0.74349,0.5731,0.84194,2.65107,0.89092,0.000286517,0.000286517,0.000286517
15,46.537,0.86963,1.24466,1.02892,0.00829,1,0.74757,0.57022,0.84319,2.65489,0.89997,0.000299536,0.000299536,0.000299536
16,47.9568,0.84684,1.18348,1.0232,0.00823,1,0.68717,0.50587,0.81395,2.72662,0.93028,0.000311422,0.000311422,0.000311422
17,49.3851,0.81377,1.20125,1.0451,0.00847,1,0.58972,0.48223,0.83063,2.78439,0.94854,0.000322177,0.000322177,0.000322177
18,50.7442,0.82041,1.05902,1.00105,0.00859,1,0.4676,0.38877,0.86318,2.92845,1.00026,0.0003318,0.0003318,0.0003318
19,52.196,0.81399,1.10696,1.01277,0.0082,0.97222,0.43212,0.33794,0.89556,3.05006,1.04777,0.000340291,0.000340291,0.000340291
20,53.6141,0.76492,1.04103,0.9956,0.00808,0.97222,0.5098,0.42525,0.83736,2.96529,0.99431,0.00034765,0.00034765,0.00034765
21,55.0467,0.74333,0.96887,0.98495,0.88909,0.54123,0.62031,0.52736,0.83231,2.76463,0.97075,0.000353878,0.000353878,0.000353878
22,56.4046,0.75736,1.00405,0.98096,1,0.2206,0.66167,0.54013,0.86255,2.62375,0.95186,0.000358973,0.000358973,0.000358973
23,57.7335,0.74651,0.96345,0.96346,1,0.20243,0.71893,0.58111,0.87426,2.51817,0.94612,0.000362937,0.000362937,0.000362937
24,59.1278,0.80018,1.03206,1.02071,1,0.24173,0.7725,0.63371,0.81287,2.42927,0.92277,0.00036577,0.00036577,0.00036577
25,60.4967,0.72385,0.9491,0.97434,0.99176,0.44242,0.84038,0.6901,0.75422,2.36425,0.89713,0.00036747,0.00036747,0.00036747
26,61.9159,0.71768,0.92829,0.97902,0.97027,0.68917,0.87616,0.72186,0.72503,2.34346,0.87952,0.000368039,0.000368039,0.000368039
27,63.3242,0.71465,0.93851,0.95128,0.80358,0.83547,0.88782,0.73882,0.74482,2.32885,0.87866,0.000367476,0.000367476,0.000367476
28,64.7729,0.71083,0.9221,0.97407,0.63251,0.93254,0.89905,0.7367,0.76015,2.3152,0.88567,0.000365781,0.000365781,0.000365781
29,66.1538,0.73653,0.91778,0.96928,1,0.79746,0.90037,0.74042,0.77548,2.27984,0.89146,0.000362955,0.000362955,0.000362955
30,67.5524,0.71563,0.88222,0.96177,1,0.61678,0.89628,0.73833,0.78976,2.22642,0.893,0.000358996,0.000358996,0.000358996
31,68.9715,0.70511,0.85371,0.94391,1,0.53082,0.89717,0.74231,0.79034,2.16277,0.89514,0.000353906,0.000353906,0.000353906
32,70.3689,0.63801,0.84804,0.94063,1,0.49648,0.94534,0.78251,0.77809,2.10312,0.89836,0.000347684,0.000347684,0.000347684
33,71.8006,0.68454,0.83759,0.95577,1,0.51575,0.96617,0.79044,0.77215,2.03879,0.8949,0.000340331,0.000340331,0.000340331
34,73.2205,0.68654,0.86697,0.94081,1,0.5345,0.97813,0.80027,0.77933,1.99747,0.89143,0.000331845,0.000331845,0.000331845
35,74.617,0.6411,0.8338,0.92322,1,0.56068,0.97696,0.77315,0.78569,1.97855,0.88692,0.000322228,0.000322228,0.000322228
36,75.9939,0.66271,0.81182,0.92857,1,0.62121,0.97946,0.77724,0.78649,1.94306,0.89678,0.000311479,0.000311479,0.000311479
37,77.3706,0.62992,0.79863,0.92039,1,0.70666,0.98359,0.78915,0.75787,1.89284,0.90094,0.000299598,0.000299598,0.000299598
38,78.8,0.63372,0.84444,0.96846,1,0.73216,0.98833,0.80367,0.73883,1.82565,0.89139,0.000286586,0.000286586,0.000286586
39,80.2409,0.70797,0.79471,0.93059,1,0.72887,0.98967,0.81087,0.72056,1.75124,0.87974,0.000272442,0.000272442,0.000272442
40,81.6288,0.70598,0.83458,0.95245,1,0.79463,0.98967,0.80652,0.73166,1.69038,0.88072,0.000257166,0.000257166,0.000257166
41,91.3956,0.59987,1.04708,0.88348,1,0.8272,0.99295,0.8139,0.74419,1.65816,0.87975,0.000240758,0.000240758,0.000240758
42,92.8043,0.59595,1.03365,0.88083,1,0.81431,0.9909,0.81601,0.75619,1.66099,0.88242,0.000223218,0.000223218,0.000223218
43,94.133,0.56385,0.97835,0.88098,1,0.79492,0.98449,0.80277,0.77454,1.68821,0.90128,0.000204547,0.000204547,0.000204547
44,95.5247,0.56837,1.02338,0.87303,1,0.78613,0.98282,0.78615,0.82751,1.70453,0.92361,0.000184744,0.000184744,0.000184744
45,96.9058,0.59086,1.03917,0.8736,1,0.78833,0.98258,0.79088,0.83272,1.67487,0.92744,0.000163809,0.000163809,0.000163809
46,98.371,0.57099,1.01411,0.87086,1,0.79424,0.98692,0.79795,0.81581,1.61815,0.91884,0.000141743,0.000141743,0.000141743
47,99.7728,0.54628,0.98704,0.8847,1,0.81025,0.9909,0.81297,0.79085,1.55168,0.90765,0.000118544,0.000118544,0.000118544
48,101.149,0.56322,0.98951,0.88256,1,0.83786,0.995,0.82344,0.77033,1.47112,0.89401,9.4214e-05,9.4214e-05,9.4214e-05
49,102.513,0.54559,0.92662,0.87392,1,0.922,0.995,0.81914,0.75213,1.394,0.88782,6.8752e-05,6.8752e-05,6.8752e-05
50,103.938,0.5346,0.93068,0.87716,1,0.9592,0.995,0.82951,0.74387,1.32266,0.88334,4.21584e-05,4.21584e-05,4.21584e-05
