epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.6617,1.21484,3.36992,1.23594,0.00638,0.72222,0.05111,0.03943,0.93515,3.12402,1.04738,1.429e-05,1.429e-05,1.429e-05
2,28.0889,1.13487,3.37919,1.21142,0.00669,0.75556,0.05308,0.03791,0.92614,3.11773,1.04486,4.24456e-05,4.24456e-05,4.24456e-05
3,29.3578,1.19543,3.42215,1.18629,0.00829,0.91667,0.12893,0.10729,0.85838,3.1081,0.99504,7.00353e-05,7.00353e-05,7.00353e-05
4,30.7616,1.0489,3.29995,1.09844,0.00808,0.94444,0.24635,0.20752,0.79075,3.03253,0.92299,9.70591e-05,9.70591e-05,9.70591e-05
5,32.2954,0.94859,3.11195,1.08116,0.00821,1,0.41281,0.34946,0.68794,2.90861,0.86413,0.000123517,0.000123517,0.000123517
6,33.6787,0.88518,2.87415,1.02571,0.0079,1,0.58215,0.47595,0.70455,2.89386,0.86086,0.000149409,0.000149409,0.000149409
7,35.062,0.93299,2.70883,1.05943,0.00783,1,0.6434,0.52339,0.68585,2.87386,0.85845,0.000174735,0.000174735,0.000174735
8,36.4648,0.85998,2.44261,1.02259,0.00781,1,0.71264,0.58915,0.66964,2.8413,0.84603,0.000199496,0.000199496,0.000199496
9,37.8365,0.91158,2.24764,1.0466,0.00781,1,0.75713,0.6325,0.64734,2.80349,0.85362,0.00022369,0.00022369,0.00022369
10,39.2714,0.92297,2.0519,1.03735,0.00781,1,0.75875,0.62111,0.70916,2.77711,0.87272,0.000247318,0.000247318,0.000247318
11,40.7163,0.89451,1.77611,1.04709,0.00781,1,0.7804,0.62095,0.77296,2.73023,0.88932,0.000270381,0.000270381,0.000270381
12,42.151,0.84813,1.6,1.04434,0.00783,1,0.79445,0.63668,0.77428,2.65776,0.86788,0.000292878,0.000292878,0.000292878
13,43.6005,0.87595,1.47035,1.06056,0.00786,1,0.78719,0.62172,0.83176,2.6281,0.88827,0.000314809,0.000314809,0.000314809
14,45.0106,0.8593,1.31933,1.04126,0.00796,1,0.773,0.60659,0.87574,2.5885,0.91506,0.000336174,0.000336174,0.000336174
15,46.5142,0.89327,1.21369,1.02906,0.00809,1,0.74377,0.60081,0.8482,2.60947,0.94025,0.000356973,0.000356973,0.000356973
16,47.9791,0.83821,1.15743,1.02135,0.00812,1,0.72141,0.57191,0.86848,2.64364,0.93955,0.000377206,0.000377206,0.000377206
17,49.3603,0.80861,1.15734,1.0516,0.00808,1,0.69342,0.54912,0.80071,2.63445,0.91763,0.000396873,0.000396873,0.000396873
18,50.7235,0.79455,1.06684,0.99926,0.96791,0.49426,0.74379,0.58717,0.82031,2.56639,0.93241,0.000415975,0.000415975,0.000415975
19,52.1958,0.82508,1.10705,1.01747,0.97836,0.50365,0.80954,0.63318,0.88581,2.46456,0.9536,0.00043451,0.00043451,0.00043451
