epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.1842,1.18357,3.76773,1.26208,0.03432,0.02564,0.01627,0.01074,0.86919,3.7862,1.10276,5.716e-05,5.716e-05,5.716e-05
2,27.8022,0.9941,2.7908,1.16127,0.73316,0.88804,0.89684,0.73193,0.728,1.75957,0.93869,0.000126064,0.000126064,0.000126064
3,29.6432,0.89018,1.45618,1.04222,0.75893,0.9074,0.91345,0.72245,0.77901,1.65362,0.93431,0.000192138,0.000192138,0.000192138
4,31.35,0.83109,1.21543,0.96297,0.79474,0.88761,0.87079,0.72439,0.76862,1.24959,0.94824,0.000255382,0.000255382,0.000255382
5,33.2758,0.86837,1.09767,1.01702,0.87821,0.81786,0.94899,0.78511,0.76011,1.21909,0.92353,0.000315798,0.000315798,0.000315798
6,35.0668,0.86675,1.05009,0.99859,0.89432,0.95706,0.9735,0.73312,0.97271,0.98592,1.04082,0.000373383,0.000373383,0.000373383
7,36.7805,0.86982,0.87577,0.9967,0.96129,0.95591,0.965,0.75561,0.85209,0.89905,0.95698,0.00042814,0.00042814,0.00042814
8,38.7783,0.97592,0.93131,1.08232,0.96464,0.96196,0.96574,0.75244,0.89607,0.79922,0.98459,0.000480067,0.000480067,0.000480067
9,40.5098,0.86364,0.82428,1.03031,0.95758,0.94444,0.94573,0.70629,0.96119,0.82045,1.03336,0.000529164,0.000529164,0.000529164
10,42.3022,0.88407,0.82776,1.04005,0.91614,0.93564,0.95757,0.72408,0.89867,0.83498,1.00391,0.000575433,0.000575433,0.000575433
11,43.9898,0.85152,0.7119,1.02551,0.90547,0.93911,0.96045,0.7052,0.9474,0.83918,1.05367,0.000618871,0.000618871,0.000618871
12,45.775,0.79393,0.7413,1.03502,0.92277,0.9342,0.97754,0.77745,0.88067,0.7049,1.04447,0.000659481,0.000659481,0.000659481
13,47.4992,0.81253,0.73145,1.02567,0.9559,0.90423,0.99295,0.78345,0.8561,0.689,1.01115,0.000697261,0.000697261,0.000697261
14,49.3026,0.82353,0.6739,1.02244,0.93748,0.95459,0.98571,0.75282,0.94221,0.71426,1.0455,0.000732211,0.000732211,0.000732211
15,50.995,0.90024,0.74063,1.09604,0.90542,0.98731,0.98746,0.74904,0.90759,0.6096,1.00565,0.000764332,0.000764332,0.000764332
16,52.6482,0.77513,0.65366,1.00895,0.93637,0.87274,0.9597,0.75947,0.91788,0.69118,1.05005,0.000793624,0.000793624,0.000793624
17,54.3921,0.81192,0.63662,1.00212,0.9095,0.83802,0.94254,0.72764,0.93055,0.77213,1.07577,0.000820086,0.000820086,0.000820086
18,56.0477,0.77989,0.59676,1.04757,0.90256,0.93889,0.96317,0.73314,0.91412,0.72967,1.09353,0.000843719,0.000843719,0.000843719
19,57.9265,0.75662,0.57958,1.01702,0.96129,0.90171,0.988,0.77451,0.87911,0.65302,1.06717,0.000864522,0.000864522,0.000864522
