epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.1883,1.2388,4.2734,1.53004,0.10659,0.41496,0.11763,0.04086,2.4854,24.0781,3.06527,0.000467346,0.000467346,0.000467346
2,40.0211,1.91561,9.0738,2.06034,0.15617,0.53363,0.3614,0.11032,2.09131,9.64064,2.34229,0.000924994,0.000924994,0.000924994
3,56.9,1.76393,8.05762,1.89493,0.15617,0.53363,0.3614,0.11032,2.09131,9.64064,2.34229,0.00136378,0.00136378,0.00136378
4,74.1124,1.83492,8.50971,1.86627,1,0.23333,0.41608,0.10924,2.12899,9.10652,2.38261,0.00134412,0.00134412,0.00134412
5,90.8551,1.98129,8.44847,2.10723,0.15427,0.5641,0.36,0.13684,2.07747,9.61508,2.36751,0.00131582,0.00131582,0.00131582
6,107.592,2.59281,8.81227,2.58286,0,0,0,0,nan,nan,nan,0.00128753,0.00128753,0.00128753
7,124.269,2.95741,6.28692,2.93734,0,0,0,0,nan,nan,nan,0.00125923,0.00125923,0.00125923
8,140.351,2.78089,6.55571,2.98241,9e-05,0.02564,6e-05,2e-05,nan,nan,nan,0.00123094,0.00123094,0.00123094
9,156.627,3.06227,4.30568,3.21169,9e-05,0.02564,6e-05,2e-05,nan,nan,nan,0.00120265,0.00120265,0.00120265
10,172.711,2.94777,4.52023,2.83311,0,0,0,0,nan,nan,nan,0.00117435,0.00117435,0.00117435
11,189.265,3.03485,4.41485,2.98626,0,0,0,0,nan,nan,nan,0.00114606,0.00114606,0.00114606
12,205.076,2.94908,4.21926,3.08629,0,0,0,0,nan,nan,nan,0.00111776,0.00111776,0.00111776
13,218.739,2.83827,3.95832,3.09653,0,0,0,0,nan,nan,nan,0.00108947,0.00108947,0.00108947
14,232.401,2.80979,4.29068,3.00765,0,0,0,0,nan,nan,nan,0.00106118,0.00106118,0.00106118
15,246.033,2.75751,4.03044,2.92676,0,0,0,0,nan,nan,nan,0.00103288,0.00103288,0.00103288
16,263.21,2.60871,3.70488,2.78626,0,0,0,0,nan,nan,nan,0.00100459,0.00100459,0.00100459
17,279.529,2.61787,3.62489,2.8452,0.00616,0.31795,0.00761,0.00207,nan,nan,nan,0.000976293,0.000976293,0.000976293
18,295.954,2.49184,3.49698,2.72404,0.00476,0.55513,0.00432,0.00143,3.19586,293.12,10.6962,0.000947999,0.000947999,0.000947999
19,314.77,2.42246,3.28704,2.82742,0.00105,0.05128,0.00053,0.00013,nan,nan,nan,0.000919704,0.000919704,0.000919704
20,332.83,2.29774,3.37414,2.69105,0.00137,0.12821,0.00097,0.00025,nan,nan,nan,0.00089141,0.00089141,0.00089141
21,350.551,2.33266,3.28163,2.63432,0.00137,0.12821,0.00097,0.00025,nan,nan,nan,0.000863116,0.000863116,0.000863116
22,368.269,2.3117,3.24923,2.6404,0.00506,0.54103,0.02241,0.00773,2.92564,192.568,6.96288,0.000834822,0.000834822,0.000834822
23,385.954,2.22238,3.12669,2.5417,0.02526,0.02564,0.0475,0.01401,3.10709,6.50634,5.53257,0.000806528,0.000806528,0.000806528
24,404.151,2.4183,3.11481,2.67548,0.44452,0.05128,0.03874,0.01575,3.16827,5.16651,6.09297,0.000778233,0.000778233,0.000778233
25,422.558,2.20729,3.0665,2.5779,0.00316,0.11453,0.00503,0.00227,4.03275,5.88542,8.41345,0.000749939,0.000749939,0.000749939
26,441.108,2.22985,2.87945,2.59582,0.40783,0.02778,0.02111,0.01163,3.65035,5.07353,4.91016,0.000721645,0.000721645,0.000721645
27,458.313,2.22873,2.8028,2.56238,0.40783,0.02778,0.02111,0.01163,3.65035,5.07353,4.91016,0.000693351,0.000693351,0.000693351
28,476.585,2.27588,2.72783,2.61667,0.01598,0.2547,0.03799,0.01475,3.091,7.05161,6.30106,0.000665057,0.000665057,0.000665057
29,493.918,2.12958,2.71411,2.57596,0.01298,0.46496,0.0304,0.01252,nan,nan,nan,0.000636762,0.000636762,0.000636762
30,511.408,2.21291,2.61836,2.59195,0.57807,0.08462,0.06414,0.03065,nan,nan,nan,0.000608468,0.000608468,0.000608468
31,529.679,2.21171,2.53826,2.56333,0.23326,0.34915,0.30394,0.16623,2.27884,2.36039,3.27565,0.000580174,0.000580174,0.000580174
32,547.921,1.96102,2.56748,2.45055,0.23326,0.34915,0.30394,0.16623,2.27884,2.36039,3.27565,0.00055188,0.00055188,0.00055188
33,566.373,2.26697,2.50423,2.5588,0.44568,0.53411,0.45209,0.20229,2.09755,2.39396,2.74276,0.000523586,0.000523586,0.000523586
34,584.828,2.11375,2.45485,2.56471,0.50544,0.52511,0.52043,0.24272,1.96397,2.25398,2.70301,0.000495291,0.000495291,0.000495291
35,603.473,2.05119,2.46942,2.43391,0.3876,0.41026,0.48275,0.22971,1.99684,2.01735,2.69423,0.000466997,0.000466997,0.000466997
36,621.363,2.08705,2.33475,2.43924,0.38879,0.35897,0.47723,0.25753,1.88569,1.95372,2.58359,0.000438703,0.000438703,0.000438703
